,crs_dep_time,crs_arr_time,crs_elapsed_time,flights,distance,year,month,day,dep_time_of_day,arr_time_of_day,mean_arr_delay_orig_airport,mean_arr_delay_dest_airport,mean_arr_delay_carrier,orig_weather_categ_no weather data,orig_weather_categ_rain,orig_weather_categ_snow,orig_weather_categ_snow & rain,orig_weather_categ_sunny,dest_weather_categ_no weather data,dest_weather_categ_rain,dest_weather_categ_snow,dest_weather_categ_snow & rain,dest_weather_categ_sunny,orig_region_East-South Central,orig_region_Mid-Atlantic,orig_region_New England,orig_region_North-West,orig_region_Offshore Territory,orig_region_Pacific,orig_region_South-Atlantic,orig_region_South-West,orig_region_West-North Central,orig_region_West-South Central,dest_region_East-South Central,dest_region_Mid-Atlantic,dest_region_New England,dest_region_North-West,dest_region_Offshore Territory,dest_region_Pacific,dest_region_South-Atlantic,dest_region_South-West,dest_region_West-North Central,dest_region_West-South Central
66,2055,2210,75.0,1.0,342.0,2019,9,20,3,1,6.101010101010101,4.414634146341464,3.9402271368798565,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
67,1455,1620,85.0,1.0,342.0,2019,4,3,2,2,2.0987654320987654,5.229166666666667,0.2486865148861646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,1220,1338,78.0,1.0,224.0,2019,4,14,2,2,4.889952153110048,5.974789915966387,5.078223270440252,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
69,1150,1240,50.0,1.0,213.0,2019,5,3,0,2,81.0,81.0,0.2486865148861646,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,1800,1850,50.0,1.0,93.0,2019,10,4,3,3,3.3659574468085105,-3.5,0.2486865148861646,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,1940,2210,150.0,1.0,585.0,2018,2,19,3,1,8.6875,24.59016393442623,3.8531746031746033,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1540,1750,70.0,1.0,307.0,2018,4,16,2,3,5.879310344827586,6.126984126984127,3.9402271368798565,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1500,1613,73.0,1.0,209.0,2018,3,9,2,2,12.975961538461538,52.92307692307692,8.24934929724102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74,2200,2310,70.0,1.0,198.0,2019,11,18,1,1,8.6875,7.739130434782608,3.8531746031746033,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75,1317,1453,96.0,1.0,433.0,2018,11,26,2,2,3.3743589743589744,39.75,5.078223270440252,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
76,1759,1933,94.0,1.0,406.0,2018,10,1,3,3,12.806122448979592,-0.040169133192389,3.8531746031746033,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
77,1621,1749,88.0,1.0,293.0,2019,3,2,2,3,1.6666666666666667,5.974789915966387,5.078223270440252,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
78,1700,2145,165.0,1.0,1055.0,2019,6,15,3,1,5.15566037735849,5.974789915966387,9.975708502024291,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
79,540,705,85.0,1.0,419.0,2018,12,29,0,0,6.2727272727272725,0.85,3.9402271368798565,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
80,1106,1231,85.0,1.0,257.0,2018,4,1,0,2,8.2,0.8445945945945946,5.078223270440252,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
81,1226,1412,106.0,1.0,437.0,2018,9,17,2,2,-0.4166666666666667,7.032258064516129,5.078223270440252,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,1340,1502,82.0,1.0,335.0,2019,3,6,2,2,7.569148936170213,-2.0,5.078223270440252,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
83,605,824,139.0,1.0,685.0,2019,9,28,0,0,11.166666666666666,5.974789915966387,5.078223270440252,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
84,1345,1628,163.0,1.0,954.0,2019,6,6,2,2,-0.7631578947368421,4.6437246963562755,3.8531746031746033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,726,902,96.0,1.0,534.0,2018,10,22,0,0,2.3117647058823527,9.756756756756756,3.8531746031746033,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
86,1415,1600,285.0,1.0,1972.0,2019,8,7,2,2,6.568421052631579,9.221276595744682,5.078223270440252,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
87,1324,1438,74.0,1.0,236.0,2019,12,28,2,2,-0.7631578947368421,2.7577092511013217,3.8531746031746033,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,2230,5,95.0,1.0,546.0,2018,7,12,1,1,9.616279069767442,8.241379310344827,3.9402271368798565,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
89,1152,1315,143.0,1.0,737.0,2019,1,13,0,2,7.538461538461538,12.547231270358306,5.078223270440252,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
