fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,orig_weather_categ,dest_weather_categ
2018-06-02,B6,B6,B6,1243,B6,N184JB,1243,11278,DCA,"Washington, DC",10994,CHS,"Charleston, SC",1804,1944.0,100.0,12.0,1956.0,2107.0,4.0,1942,2111.0,89.0,0.0,,0.0,N,98.0,87.0,71.0,1.0,444.0,89.0,0.0,0.0,0.0,0.0,,,,,rain,rain
2018-08-08,AA,AA_CODESHARE,AA,3844,MQ,N933JN,3844,13303,MIA,"Miami, FL",15249,TLH,"Tallahassee, FL",1730,1720.0,-10.0,10.0,1730.0,1832.0,4.0,1857,1836.0,-21.0,0.0,,0.0,N,87.0,76.0,62.0,1.0,402.0,,,,,,,,,,sunny,rain
2018-05-16,UA,UA,UA,2005,UA,N37471,2005,13930,ORD,"Chicago, IL",11292,DEN,"Denver, CO",855,855.0,0.0,19.0,914.0,1013.0,6.0,1039,1019.0,-20.0,0.0,,0.0,N,164.0,144.0,119.0,1.0,888.0,,,,,,,,,,sunny,sunny
2018-04-09,WN,WN,WN,6528,WN,N903WN,6528,13851,OKC,"Oklahoma City, OK",14107,PHX,"Phoenix, AZ",1350,1438.0,48.0,9.0,1447.0,1456.0,4.0,1410,1500.0,50.0,0.0,,0.0,N,140.0,142.0,129.0,1.0,833.0,18.0,0.0,2.0,0.0,30.0,,,,,sunny,sunny
2018-06-10,AA,AA,AA,628,AA,N974UY,628,12953,LGA,"New York, NY",11057,CLT,"Charlotte, NC",615,611.0,-4.0,13.0,624.0,746.0,4.0,816,750.0,-26.0,0.0,,0.0,N,121.0,99.0,82.0,1.0,544.0,,,,,,,,,,rain,sunny
2019-10-05,AA,AA,AA,171,AA,N108NN,171,12478,JFK,"New York, NY",12892,LAX,"Los Angeles, CA",600,552.0,-8.0,23.0,615.0,847.0,4.0,913,851.0,-22.0,0.0,,0.0,N,373.0,359.0,332.0,1.0,2475.0,,,,,,,,,,sunny,sunny
2018-09-06,UA,UA_CODESHARE,UA,3753,YX,N635RW,3753,13930,ORD,"Chicago, IL",13230,MDT,"Harrisburg, PA",745,743.0,-2.0,17.0,800.0,1017.0,7.0,1034,1024.0,-10.0,0.0,,0.0,N,109.0,101.0,77.0,1.0,594.0,,,,,,,,,,rain,sunny
2018-10-15,G4,G4,G4,2176,G4,423NV,2176,14761,SFB,"Sanford, FL",11721,FNT,"Flint, MI",1603,1557.0,-6.0,20.0,1617.0,1825.0,8.0,1837,1833.0,-4.0,0.0,,0.0,N,154.0,156.0,128.0,1.0,988.0,,,,,,,,,,sunny,rain
2018-02-13,UA,UA_CODESHARE,UA,5207,OO,N905SW,5207,10620,BIL,"Billings, MT",11292,DEN,"Denver, CO",1000,959.0,-1.0,14.0,1013.0,1121.0,8.0,1136,1129.0,-7.0,0.0,,0.0,N,96.0,90.0,68.0,1.0,455.0,,,,,,,,,,sunny,sunny
2018-07-08,WN,WN,WN,2771,WN,N8327A,2771,14107,PHX,"Phoenix, AZ",14057,PDX,"Portland, OR",2200,2159.0,-1.0,18.0,2217.0,28.0,3.0,35,31.0,-4.0,0.0,,0.0,N,155.0,152.0,131.0,1.0,1009.0,,,,,,,,,,sunny,sunny
2019-05-29,UA,UA,UA,1424,UA,N474UA,1424,14107,PHX,"Phoenix, AZ",14771,SFO,"San Francisco, CA",700,655.0,-5.0,11.0,706.0,845.0,28.0,907,913.0,6.0,0.0,,0.0,N,127.0,138.0,99.0,1.0,651.0,,,,,,,,,,sunny,cloudy
2019-09-08,AA,AA,AA,2668,AA,N762US,2668,11298,DFW,"Dallas/Fort Worth, TX",12266,IAH,"Houston, TX",705,655.0,-10.0,15.0,710.0,757.0,5.0,815,802.0,-13.0,0.0,,0.0,N,70.0,67.0,47.0,1.0,224.0,,,,,,,,,,sunny,sunny
2019-01-13,AS,AS,AS,71,AS,N260AK,71,11618,EWR,"Newark, NJ",12892,LAX,"Los Angeles, CA",1545,1537.0,-8.0,25.0,1602.0,1820.0,21.0,1910,1841.0,-29.0,0.0,,0.0,N,385.0,364.0,318.0,1.0,2454.0,,,,,,,,,,cloudy,sunny
2019-09-15,WN,WN,WN,3785,WN,N733SA,3785,12191,HOU,"Houston, TX",15304,TPA,"Tampa, FL",1605,1624.0,19.0,6.0,1630.0,1921.0,4.0,1920,1925.0,5.0,0.0,,0.0,N,135.0,121.0,111.0,1.0,781.0,,,,,,,,,,sunny,rain
2019-06-11,AA,AA_CODESHARE,AA,5421,OH,N596NN,5421,11423,DSM,"Des Moines, IA",11057,CLT,"Charlotte, NC",1157,,,,,,,1524,,,1.0,A,0.0,N,147.0,,,1.0,815.0,,,,,,,,,,rain,sunny
2019-11-30,AA,AA_CODESHARE,AA,3542,MQ,N851AE,3542,10185,AEX,"Alexandria, LA",11298,DFW,"Dallas/Fort Worth, TX",1227,1221.0,-6.0,16.0,1237.0,1343.0,16.0,1345,1359.0,14.0,0.0,,0.0,N,78.0,98.0,66.0,1.0,285.0,,,,,,,,,,rain,rain
2019-09-05,DL,DL,DL,1339,DL,N916DL,1339,10397,ATL,"Atlanta, GA",12992,LIT,"Little Rock, AR",1750,1748.0,-2.0,10.0,1758.0,1803.0,3.0,1819,1806.0,-13.0,0.0,,0.0,N,89.0,78.0,65.0,1.0,453.0,,,,,,,,,,sunny,sunny
2019-09-21,WN,WN,WN,2232,WN,N473WN,2232,15016,STL,"St. Louis, MO",13232,MDW,"Chicago, IL",1855,1846.0,-9.0,9.0,1855.0,1953.0,5.0,2005,1958.0,-7.0,0.0,,0.0,N,70.0,72.0,58.0,1.0,251.0,,,,,,,,,,cloudy,rain
2019-09-20,WN,WN,WN,1323,WN,N923WN,1323,14893,SMF,"Sacramento, CA",12889,LAS,"Las Vegas, NV",1705,1722.0,17.0,9.0,1731.0,1826.0,5.0,1820,1831.0,11.0,0.0,,0.0,N,75.0,69.0,55.0,1.0,397.0,,,,,,,,,,sunny,sunny
2018-11-26,UA,UA_CODESHARE,UA,5275,OO,N154SY,5275,15016,STL,"St. Louis, MO",14771,SFO,"San Francisco, CA",649,942.0,173.0,32.0,1014.0,1216.0,12.0,945,1228.0,163.0,0.0,,0.0,N,296.0,286.0,242.0,1.0,1735.0,163.0,0.0,0.0,0.0,0.0,,,,,snow,cloudy
2018-12-28,UA,UA_CODESHARE,UA,4912,C5,N13161,4912,14321,PWM,"Portland, ME",11618,EWR,"Newark, NJ",1440,1452.0,12.0,30.0,1522.0,1626.0,14.0,1623,1640.0,17.0,0.0,,0.0,N,103.0,108.0,64.0,1.0,284.0,0.0,0.0,17.0,0.0,0.0,,,,,snow & rain,rain
2018-01-23,AA,AA,AA,1697,AA,N176UW,1697,14635,RSW,"Fort Myers, FL",14100,PHL,"Philadelphia, PA",1415,1408.0,-7.0,9.0,1417.0,1624.0,4.0,1659,1628.0,-31.0,0.0,,0.0,N,164.0,140.0,127.0,1.0,993.0,,,,,,,,,,rain,rain
2018-05-06,AA,AA_CODESHARE,AA,4870,PT,N682AE,4870,14100,PHL,"Philadelphia, PA",15070,SWF,"Newburgh/Poughkeepsie, NY",1320,1323.0,3.0,23.0,1346.0,1428.0,2.0,1439,1430.0,-9.0,0.0,,0.0,N,79.0,67.0,42.0,1.0,127.0,,,,,,,,,,rain,
