crs_dep_time,dep_time,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,dep_time_of_day,arr_time_of_day,mean_arr_delay_orig_airport,mean_arr_delay_dest_airport,mean_arr_delay_carrier,year,month,day,orig_weather_categ_empty,orig_weather_categ_no weather data,orig_weather_categ_rain,orig_weather_categ_snow,orig_weather_categ_snow & rain,orig_weather_categ_sunny,dest_weather_categ_empty,dest_weather_categ_no weather data,dest_weather_categ_rain,dest_weather_categ_snow,dest_weather_categ_snow & rain,dest_weather_categ_sunny
1540,1547.0,10.0,1557.0,1747.0,4.0,1750,1751.0,0.0,0.0,70.0,64.0,50.0,1.0,307.0,1,3,6.035398230088496,6.327868852459017,4.019512195121951,2018,4,16,0,0,0,0,0,0,0,0,1,0,0,0
1500,1503.0,20.0,1523.0,1606.0,6.0,1613,1612.0,0.0,0.0,73.0,69.0,43.0,1.0,209.0,1,1,13.230392156862745,52.92307692307692,8.433741351782864,2018,3,9,0,0,0,0,0,0,0,0,0,0,0,0
2200,2357.0,12.0,9.0,44.0,9.0,2310,53.0,0.0,0.0,70.0,56.0,35.0,1.0,198.0,3,2,9.065217391304348,7.739130434782608,3.8926503340757237,2019,11,18,0,0,1,0,0,0,0,0,0,0,0,0
1317,1314.0,28.0,1342.0,1447.0,7.0,1453,1454.0,0.0,0.0,96.0,100.0,65.0,1.0,433.0,1,1,3.445026178010471,39.75,5.238848337388483,2018,11,26,0,0,0,0,0,1,0,0,0,0,0,1
1759,1750.0,18.0,1808.0,1910.0,6.0,1933,1916.0,0.0,0.0,94.0,86.0,62.0,1.0,406.0,2,3,12.938144329896907,-0.040169133192389,3.8926503340757237,2018,10,1,0,0,0,0,0,1,0,0,0,0,0,0
1621,1655.0,19.0,1714.0,1809.0,13.0,1749,1822.0,0.0,0.0,88.0,87.0,55.0,1.0,293.0,1,3,1.6666666666666667,6.182608695652174,5.238848337388483,2019,3,2,0,0,1,0,0,0,0,0,1,0,0,0
1700,1654.0,24.0,1718.0,2133.0,11.0,2145,2144.0,0.0,0.0,165.0,170.0,135.0,1.0,1055.0,2,2,5.229665071770335,6.182608695652174,10.057142857142857,2019,6,15,0,0,0,0,0,1,0,0,0,0,0,1
540,540.0,10.0,550.0,700.0,5.0,705,705.0,0.0,0.0,85.0,85.0,70.0,1.0,419.0,0,0,6.2727272727272725,0.8607594936708861,4.019512195121951,2018,12,29,0,0,0,0,0,1,0,0,0,0,0,0
1106,1055.0,14.0,1109.0,1200.0,8.0,1231,1208.0,0.0,0.0,85.0,73.0,51.0,1.0,257.0,0,1,8.41025641025641,0.8680555555555556,5.238848337388483,2018,4,1,0,0,0,0,0,0,0,0,0,0,0,1
1226,1213.0,21.0,1234.0,1355.0,17.0,1412,1412.0,0.0,0.0,106.0,119.0,81.0,1.0,437.0,1,1,-0.45454545454545453,7.389830508474576,5.238848337388483,2018,9,17,0,0,0,0,0,1,0,0,1,0,0,0
1340,1339.0,15.0,1354.0,1455.0,5.0,1502,1500.0,0.0,0.0,82.0,81.0,61.0,1.0,335.0,1,1,7.691891891891892,-2.0,5.238848337388483,2019,3,6,0,0,0,0,0,1,0,0,0,0,0,1
605,0.0,0.0,0.0,0.0,0.0,824,0.0,1.0,0.0,139.0,0.0,0.0,1.0,685.0,0,0,13.4,6.182608695652174,5.238848337388483,2019,9,28,0,0,0,0,0,1,0,0,0,0,0,1
1345,1352.0,13.0,1405.0,1610.0,8.0,1628,1618.0,0.0,0.0,163.0,146.0,125.0,1.0,954.0,1,1,-0.7767857142857143,4.681632653061224,3.8926503340757237,2019,6,6,0,0,0,0,0,0,0,0,0,0,0,0
726,724.0,13.0,737.0,849.0,4.0,902,853.0,0.0,0.0,96.0,89.0,72.0,1.0,534.0,0,0,2.3300395256916997,9.845454545454546,3.8926503340757237,2018,10,22,0,0,0,0,0,1,0,0,0,0,0,1
1415,1522.0,51.0,1613.0,1721.0,8.0,1600,1729.0,0.0,0.0,285.0,307.0,248.0,1.0,1972.0,1,1,6.782608695652174,9.380952380952381,5.238848337388483,2019,8,7,0,0,1,0,0,0,0,0,0,0,0,1
1324,1321.0,19.0,1340.0,1423.0,15.0,1438,1438.0,0.0,0.0,74.0,77.0,43.0,1.0,236.0,1,1,-0.7767857142857143,2.7822222222222224,3.8926503340757237,2019,12,28,0,0,0,0,0,1,0,0,0,0,0,1
2230,8.0,10.0,18.0,135.0,3.0,5,138.0,0.0,0.0,95.0,90.0,77.0,1.0,546.0,3,2,9.729411764705882,8.241379310344827,4.019512195121951,2018,7,12,0,0,0,0,0,0,0,0,0,0,0,1
1152,1209.0,13.0,1222.0,1310.0,8.0,1315,1318.0,0.0,0.0,143.0,129.0,108.0,1.0,737.0,0,1,7.538461538461538,12.79734219269103,5.238848337388483,2019,1,13,0,0,0,0,0,1,0,0,0,0,0,1
845,854.0,11.0,905.0,1146.0,3.0,1150,1149.0,0.0,0.0,125.0,115.0,101.0,1.0,814.0,0,0,6.291666666666667,9.715909090909092,4.019512195121951,2019,2,5,0,0,1,0,0,0,0,0,0,0,0,1
1105,1521.0,14.0,1535.0,1711.0,25.0,1329,1736.0,0.0,0.0,144.0,135.0,96.0,1.0,820.0,0,1,9.73913043478261,11.608910891089108,8.433741351782864,2018,11,26,0,0,1,0,0,0,0,0,1,0,0,0
820,844.0,17.0,901.0,943.0,13.0,934,956.0,0.0,0.0,74.0,72.0,42.0,1.0,192.0,0,0,6.8076923076923075,5.244131455399061,8.433741351782864,2018,5,28,0,0,0,0,0,1,0,0,0,0,0,1
