fl_date,city,count,weather_categ
2018-05-06,"Dallas/Fort Worth, TX",3,sunny
2018-05-06,"Chicago, IL",3,sunny
2019-09-29,"Atlanta, GA",3,sunny
2018-12-24,"New York, NY",3,rain
2018-12-24,"Las Vegas, NV",3,sunny
2019-10-23,"Washington, DC",3,sunny
2019-04-02,"New York, NY",3,rain
2019-09-30,"Atlanta, GA",3,sunny
2018-05-16,"Charlotte, NC",3,rain
2018-03-30,"Chicago, IL",3,cloudy
2018-05-19,"Atlanta, GA",3,rain
2019-10-26,"Dallas/Fort Worth, TX",3,sunny
2018-03-30,"Las Vegas, NV",3,sunny
2019-09-19,"Charlotte, NC",3,sunny
2019-09-19,"Chicago, IL",3,sunny
2019-09-19,"Los Angeles, CA",3,sunny
2018-11-28,"Denver, CO",3,sunny
2018-11-28,"New York, NY",3,cloudy
2018-03-31,"Denver, CO",3,sunny
2018-05-17,"Chicago, IL",3,sunny
2019-04-22,"Burbank, CA",3,sunny
2018-11-28,"Salt Lake City, UT",3,rain
2018-11-29,"Fort Lauderdale, FL",3,sunny
2019-09-21,"Chicago, IL",3,rain
2019-09-24,"Denver, CO",3,sunny
2018-11-29,"New York, NY",3,cloudy
2018-05-15,"Denver, CO",3,rain
2019-10-25,"Chicago, IL",3,cloudy
2018-05-15,"Charlotte, NC",3,rain
2018-11-30,"Houston, TX",3,rain
2018-05-14,"Orlando, FL",3,rain
2018-05-14,"Chicago, IL",3,rain
2018-12-27,"Orlando, FL",3,cloudy
2019-04-19,"Washington, DC",3,rain
2018-05-13,"Chicago, IL",3,rain
2018-05-13,"Atlanta, GA",3,sunny
2019-09-23,"Newark, NJ",3,rain
2019-04-02,"Los Angeles, CA",3,sunny
2018-04-03,"Denver, CO",3,rain
2019-09-29,"Houston, TX",3,cloudy
2018-05-04,"Dallas/Fort Worth, TX",3,rain
2019-05-09,"Atlanta, GA",3,rain
2018-04-23,"Chicago, IL",3,cloudy
2019-10-06,"Pittsburgh, PA",3,rain
2018-04-25,"Chicago, IL",3,sunny
2019-04-08,"Dallas/Fort Worth, TX",3,sunny
2018-04-15,"Los Angeles, CA",3,sunny
2019-10-14,"Atlanta, GA",3,sunny
2018-12-19,"New York, NY",3,sunny
2018-12-13,"Minneapolis, MN",3,cloudy
2018-04-16,"Chicago, IL",3,cloudy
2018-12-13,"Washington, DC",3,cloudy
2019-10-08,"Chicago, IL",3,sunny
2019-10-13,"Chicago, IL",3,cloudy
2018-04-23,"New York, NY",3,sunny
2018-04-23,"Denver, CO",3,sunny
2019-04-08,"Washington, DC",3,rain
2019-04-09,"Chicago, IL",3,sunny
2018-12-20,"Dallas/Fort Worth, TX",3,sunny
2019-04-09,"Detroit, MI",3,sunny
2019-04-12,"Detroit, MI",3,rain
2018-04-17,"Seattle, WA",3,rain
2018-12-18,"Denver, CO",3,sunny
2018-04-22,"Chicago, IL",3,sunny
2019-10-09,"Dallas/Fort Worth, TX",3,cloudy
2019-10-09,"Denver, CO",3,sunny
2019-10-09,"New York, NY",3,rain
2018-04-18,"Houston, TX",3,cloudy
2018-12-16,"Charlotte, NC",3,sunny
2019-04-10,"Seattle, WA",3,rain
2019-10-10,"Newark, NJ",3,sunny
2018-04-19,"Chicago, IL",3,snow
2018-12-17,"Atlanta, GA",3,sunny
2018-12-20,"Chicago, IL",3,cloudy
2019-10-14,"Newark, NJ",3,sunny
2019-10-18,"New York, NY",3,sunny
2018-05-01,"Chicago, IL",3,sunny
2018-05-04,"Atlanta, GA",3,sunny
2019-04-16,"Charlotte, NC",3,sunny
2019-04-15,"San Francisco, CA",3,rain
2018-05-03,"Chicago, IL",3,rain
2018-05-03,"Charlotte, NC",3,sunny
2018-04-10,"Charlotte, NC",3,cloudy
2018-04-10,"Chicago, IL",3,cloudy
2018-05-03,"Atlanta, GA",3,sunny
2019-10-02,"Boston, MA",3,rain
2018-12-09,"New York, NY",3,sunny
2018-12-23,"Chicago, IL",3,cloudy
2019-10-17,"Los Angeles, CA",3,sunny
2019-04-15,"Denver, CO",3,sunny
2018-05-01,"Denver, CO",3,rain
2019-10-17,"Chicago, IL",3,sunny
2019-04-13,"Chicago, IL",3,sunny
2019-04-06,"Las Vegas, NV",3,sunny
2019-04-06,"Portland, OR",3,rain
2018-12-10,"New York, NY",3,sunny
2019-10-16,"Denver, CO",3,sunny
2018-04-12,"Newark, NJ",3,cloudy
2018-04-12,"Orlando, FL",3,sunny
2018-04-29,"Houston, TX",3,sunny
2019-10-04,"Dallas/Fort Worth, TX",3,cloudy
2019-10-16,"Boston, MA",3,rain
2019-04-07,"Detroit, MI",3,cloudy
2019-04-14,"Detroit, MI",3,rain
2019-04-14,"Denver, CO",3,sunny
2019-10-15,"Houston, TX",3,rain
2018-12-21,"Atlanta, GA",3,rain
2019-04-01,"Denver, CO",3,sunny
2018-11-27,"New York, NY",3,cloudy
2018-03-29,"Seattle, WA",3,cloudy
2018-06-08,"Atlanta, GA",3,rain
2018-06-11,"Seattle, WA",3,sunny
2018-11-13,"Charlotte, NC",3,rain
2019-03-24,"Dallas/Fort Worth, TX",3,cloudy
